,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
15263762,ZLTQ,2011-10-19,14.5,16.34,14.0,15.5,3542000.0,0.0,1.0,14.5,16.34,14.0,15.5,3542000.0
15263763,ZLTQ,2011-10-20,15.53,15.8,15.26,15.7,263200.0,0.0,1.0,15.53,15.8,15.26,15.7,263200.0
15263764,ZLTQ,2011-10-21,15.8,15.8,15.31,15.62,88800.0,0.0,1.0,15.8,15.8,15.31,15.62,88800.0
15263765,ZLTQ,2011-10-24,15.6,16.01,15.17,16.01,59500.0,0.0,1.0,15.6,16.01,15.17,16.01,59500.0
15263766,ZLTQ,2011-10-25,16.03,16.03,15.05,15.13,417100.0,0.0,1.0,16.03,16.03,15.05,15.13,417100.0
15263767,ZLTQ,2011-10-26,15.29,15.32,14.12,14.81,346000.0,0.0,1.0,15.29,15.32,14.12,14.81,346000.0
15263768,ZLTQ,2011-10-27,14.75,14.84,13.315999999999999,14.19,214300.0,0.0,1.0,14.75,14.84,13.315999999999999,14.19,214300.0
15263769,ZLTQ,2011-10-28,14.01,15.73,14.01,14.77,139500.0,0.0,1.0,14.01,15.73,14.01,14.77,139500.0
15263770,ZLTQ,2011-10-31,14.71,14.71,14.0,14.25,45800.0,0.0,1.0,14.71,14.71,14.0,14.25,45800.0
15263771,ZLTQ,2011-11-01,14.0,14.13,13.75,14.07,131100.0,0.0,1.0,14.0,14.13,13.75,14.07,131100.0
15263772,ZLTQ,2011-11-02,14.01,14.13,13.85,13.95,200800.0,0.0,1.0,14.01,14.13,13.85,13.95,200800.0
15263773,ZLTQ,2011-11-03,13.99,15.35,13.74,15.06,763600.0,0.0,1.0,13.99,15.35,13.74,15.06,763600.0
15263774,ZLTQ,2011-11-04,15.74,16.98,14.74,16.15,256400.0,0.0,1.0,15.74,16.98,14.74,16.15,256400.0
15263775,ZLTQ,2011-11-07,15.87,17.224,15.87,16.81,327400.0,0.0,1.0,15.87,17.224,15.87,16.81,327400.0
15263776,ZLTQ,2011-11-08,17.41,17.41,16.32,16.77,57200.0,0.0,1.0,17.41,17.41,16.32,16.77,57200.0
15263777,ZLTQ,2011-11-09,16.32,16.61,15.5,15.74,62400.0,0.0,1.0,16.32,16.61,15.5,15.74,62400.0
15263778,ZLTQ,2011-11-10,16.0899,16.0899,15.0,15.02,43400.0,0.0,1.0,16.0899,16.0899,15.0,15.02,43400.0
15263779,ZLTQ,2011-11-11,15.35,15.489,14.99,15.3,91600.0,0.0,1.0,15.35,15.489,14.99,15.3,91600.0
15263780,ZLTQ,2011-11-14,15.32,16.77,15.25,16.3,296100.0,0.0,1.0,15.32,16.77,15.25,16.3,296100.0
