,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
195648,ACRX,2011-02-11,5.0,5.09,4.51,4.55,1899700.0,0.0,1.0,5.0,5.09,4.51,4.55,1899700.0
195649,ACRX,2011-02-14,4.53,4.73,4.35,4.38,66300.0,0.0,1.0,4.53,4.73,4.35,4.38,66300.0
195650,ACRX,2011-02-15,4.4999,4.4999,4.08,4.31,37400.0,0.0,1.0,4.4999,4.4999,4.08,4.31,37400.0
195651,ACRX,2011-02-16,4.3729,4.3729,4.1509,4.24,9500.0,0.0,1.0,4.3729,4.3729,4.1509,4.24,9500.0
195652,ACRX,2011-02-17,4.14,4.22,3.85,3.85,60000.0,0.0,1.0,4.14,4.22,3.85,3.85,60000.0
195653,ACRX,2011-02-18,3.81,3.97,3.65,3.65,110800.0,0.0,1.0,3.81,3.97,3.65,3.65,110800.0
195654,ACRX,2011-02-22,3.7,4.09,3.7,3.86,51600.0,0.0,1.0,3.7,4.09,3.7,3.86,51600.0
195655,ACRX,2011-02-23,4.0,4.27,3.75,3.96,34900.0,0.0,1.0,4.0,4.27,3.75,3.96,34900.0
195656,ACRX,2011-02-24,4.0,4.0,3.65,3.75,32700.0,0.0,1.0,4.0,4.0,3.65,3.75,32700.0
195657,ACRX,2011-02-25,3.62,3.75,3.56,3.59,9600.0,0.0,1.0,3.62,3.75,3.56,3.59,9600.0
195658,ACRX,2011-02-28,3.94,3.94,3.6,3.62,37700.0,0.0,1.0,3.94,3.94,3.6,3.62,37700.0
195659,ACRX,2011-03-01,3.69,3.7,3.56,3.59,76400.0,0.0,1.0,3.69,3.7,3.56,3.59,76400.0
195660,ACRX,2011-03-02,3.57,3.68,3.45,3.45,25100.0,0.0,1.0,3.57,3.68,3.45,3.45,25100.0
195661,ACRX,2011-03-03,3.46,3.46,3.25,3.4,51900.0,0.0,1.0,3.46,3.46,3.25,3.4,51900.0
195662,ACRX,2011-03-04,3.3501,3.423,3.25,3.3,41900.0,0.0,1.0,3.3501,3.423,3.25,3.3,41900.0
195663,ACRX,2011-03-07,3.36,3.36,3.09,3.09,35500.0,0.0,1.0,3.36,3.36,3.09,3.09,35500.0
195664,ACRX,2011-03-08,3.13,3.24,2.99,3.11,34100.0,0.0,1.0,3.13,3.24,2.99,3.11,34100.0
195665,ACRX,2011-03-09,3.12,3.86,3.12,3.5,115900.0,0.0,1.0,3.12,3.86,3.12,3.5,115900.0
195666,ACRX,2011-03-10,3.46,3.63,3.25,3.25,36100.0,0.0,1.0,3.46,3.63,3.25,3.25,36100.0
195667,ACRX,2011-03-11,3.49,3.49,3.06,3.17,3500.0,0.0,1.0,3.49,3.49,3.06,3.17,3500.0
195668,ACRX,2011-03-14,3.19,3.3007,3.19,3.3007,1000.0,0.0,1.0,3.19,3.3007,3.19,3.3007,1000.0
195669,ACRX,2011-03-15,3.36,3.54,3.3,3.49,13200.0,0.0,1.0,3.36,3.54,3.3,3.49,13200.0
195670,ACRX,2011-03-16,3.55,3.7,3.24,3.51,17000.0,0.0,1.0,3.55,3.7,3.24,3.51,17000.0
195671,ACRX,2011-03-17,3.36,3.43,3.35,3.43,4900.0,0.0,1.0,3.36,3.43,3.35,3.43,4900.0
195672,ACRX,2011-03-18,3.42,3.42,3.12,3.12,15600.0,0.0,1.0,3.42,3.42,3.12,3.12,15600.0
195673,ACRX,2011-03-21,3.28,3.6,3.16,3.59,48700.0,0.0,1.0,3.28,3.6,3.16,3.59,48700.0
195674,ACRX,2011-03-22,3.65,3.65,3.39,3.39,4500.0,0.0,1.0,3.65,3.65,3.39,3.39,4500.0
195675,ACRX,2011-03-23,3.56,3.56,2.97,3.33,68400.0,0.0,1.0,3.56,3.56,2.97,3.33,68400.0
195676,ACRX,2011-03-24,3.42,3.49,3.3701,3.3701,5400.0,0.0,1.0,3.42,3.49,3.3701,3.3701,5400.0
195677,ACRX,2011-03-25,3.36,3.47,3.36,3.47,14300.0,0.0,1.0,3.36,3.47,3.36,3.47,14300.0
195678,ACRX,2011-03-28,3.57,3.5799,3.5,3.5799,3300.0,0.0,1.0,3.57,3.5799,3.5,3.5799,3300.0
195679,ACRX,2011-03-29,3.65,3.65,3.44,3.54,20400.0,0.0,1.0,3.65,3.65,3.44,3.54,20400.0
195680,ACRX,2011-03-30,3.59,3.64,3.41,3.42,15900.0,0.0,1.0,3.59,3.64,3.41,3.42,15900.0
195681,ACRX,2011-03-31,3.42,3.59,3.33,3.4299,14400.0,0.0,1.0,3.42,3.59,3.33,3.4299,14400.0
195682,ACRX,2011-04-01,3.5,3.51,3.38,3.38,5300.0,0.0,1.0,3.5,3.51,3.38,3.38,5300.0
195683,ACRX,2011-04-04,3.35,3.45,3.12,3.35,25900.0,0.0,1.0,3.35,3.45,3.12,3.35,25900.0
195684,ACRX,2011-04-05,3.23,3.29,3.22,3.25,5000.0,0.0,1.0,3.23,3.29,3.22,3.25,5000.0
195685,ACRX,2011-04-06,3.3,3.38,3.3,3.38,7500.0,0.0,1.0,3.3,3.38,3.3,3.38,7500.0
195686,ACRX,2011-04-07,3.4056,3.4056,3.3,3.3,8200.0,0.0,1.0,3.4056,3.4056,3.3,3.3,8200.0
195687,ACRX,2011-04-08,3.3,3.3,3.22,3.22,2700.0,0.0,1.0,3.3,3.3,3.22,3.22,2700.0
195688,ACRX,2011-04-11,3.29,3.3,3.21,3.25,11000.0,0.0,1.0,3.29,3.3,3.21,3.25,11000.0
195689,ACRX,2011-04-12,3.25,3.3,3.23,3.25,4200.0,0.0,1.0,3.25,3.3,3.23,3.25,4200.0
195690,ACRX,2011-04-13,3.2871,3.2999,3.25,3.2510000000000003,2900.0,0.0,1.0,3.2871,3.2999,3.25,3.2510000000000003,2900.0
195691,ACRX,2011-04-14,3.25,3.25,3.1,3.12,6700.0,0.0,1.0,3.25,3.25,3.1,3.12,6700.0
195692,ACRX,2011-04-15,3.21,3.21,3.15,3.15,1800.0,0.0,1.0,3.21,3.21,3.15,3.15,1800.0
195693,ACRX,2011-04-18,3.21,3.21,3.03,3.14,16300.0,0.0,1.0,3.21,3.21,3.03,3.14,16300.0
195694,ACRX,2011-04-19,3.25,3.25,3.02,3.02,4900.0,0.0,1.0,3.25,3.25,3.02,3.02,4900.0
195695,ACRX,2011-04-20,3.0,3.1799,2.9010000000000002,3.06,9500.0,0.0,1.0,3.0,3.1799,2.9010000000000002,3.06,9500.0
195696,ACRX,2011-04-21,3.27,3.28,3.12,3.12,2000.0,0.0,1.0,3.27,3.28,3.12,3.12,2000.0
195697,ACRX,2011-04-25,3.18,3.24,3.17,3.17,1600.0,0.0,1.0,3.18,3.24,3.17,3.17,1600.0
195698,ACRX,2011-04-26,3.24,3.3,3.02,3.3,30100.0,0.0,1.0,3.24,3.3,3.02,3.3,30100.0
195699,ACRX,2011-04-27,3.2,3.48,3.08,3.43,19200.0,0.0,1.0,3.2,3.48,3.08,3.43,19200.0
195700,ACRX,2011-04-28,3.4401,3.4401,3.33,3.35,19700.0,0.0,1.0,3.4401,3.4401,3.33,3.35,19700.0
195701,ACRX,2011-04-29,3.43,3.43,3.3,3.42,9300.0,0.0,1.0,3.43,3.43,3.3,3.42,9300.0
195702,ACRX,2011-05-02,3.41,3.41,3.4086,3.4086,1200.0,0.0,1.0,3.41,3.41,3.4086,3.4086,1200.0
195703,ACRX,2011-05-03,3.35,3.4091,3.35,3.35,1400.0,0.0,1.0,3.35,3.4091,3.35,3.35,1400.0
195704,ACRX,2011-05-04,3.35,3.35,3.1,3.2,12000.0,0.0,1.0,3.35,3.35,3.1,3.2,12000.0
195705,ACRX,2011-05-05,3.29,3.3,3.29,3.3,200.0,0.0,1.0,3.29,3.3,3.29,3.3,200.0
195706,ACRX,2011-05-06,3.35,3.43,3.3499,3.43,27000.0,0.0,1.0,3.35,3.43,3.3499,3.43,27000.0
195707,ACRX,2011-05-09,3.48,3.48,3.21,3.38,5200.0,0.0,1.0,3.48,3.48,3.21,3.38,5200.0
195708,ACRX,2011-05-10,3.29,3.53,3.2309,3.2835,28800.0,0.0,1.0,3.29,3.53,3.2309,3.2835,28800.0
195709,ACRX,2011-05-11,3.3560000000000003,3.3560000000000003,3.3,3.35,2700.0,0.0,1.0,3.3560000000000003,3.3560000000000003,3.3,3.35,2700.0
195710,ACRX,2011-05-12,3.21,3.44,3.21,3.44,300.0,0.0,1.0,3.21,3.44,3.21,3.44,300.0
195711,ACRX,2011-05-13,3.5,3.5718,3.48,3.5001,5100.0,0.0,1.0,3.5,3.5718,3.48,3.5001,5100.0
195712,ACRX,2011-05-16,3.58,3.75,3.58,3.65,4800.0,0.0,1.0,3.58,3.75,3.58,3.65,4800.0
195713,ACRX,2011-05-17,3.69,3.75,3.65,3.68,5100.0,0.0,1.0,3.69,3.75,3.65,3.68,5100.0
195714,ACRX,2011-05-18,3.74,4.18,3.7226,4.04,47700.0,0.0,1.0,3.74,4.18,3.7226,4.04,47700.0
195715,ACRX,2011-05-19,4.0,4.22,3.95,4.19,58100.0,0.0,1.0,4.0,4.22,3.95,4.19,58100.0
195716,ACRX,2011-05-20,4.22,4.38,4.17,4.17,14100.0,0.0,1.0,4.22,4.38,4.17,4.17,14100.0
195717,ACRX,2011-05-23,4.15,4.15,4.02,4.07,23500.0,0.0,1.0,4.15,4.15,4.02,4.07,23500.0
195718,ACRX,2011-05-24,4.09,4.09,4.02,4.05,11000.0,0.0,1.0,4.09,4.09,4.02,4.05,11000.0
195719,ACRX,2011-05-25,4.0,4.05,3.9,3.95,91500.0,0.0,1.0,4.0,4.05,3.9,3.95,91500.0
195720,ACRX,2011-05-26,4.0,4.23,4.0,4.12,42700.0,0.0,1.0,4.0,4.23,4.0,4.12,42700.0
195721,ACRX,2011-05-27,4.1,4.68,4.1,4.62,32500.0,0.0,1.0,4.1,4.68,4.1,4.62,32500.0
195722,ACRX,2011-05-31,4.75,5.0,4.7010000000000005,4.8,39300.0,0.0,1.0,4.75,5.0,4.7010000000000005,4.8,39300.0
195723,ACRX,2011-06-01,4.8,4.8,4.45,4.45,13500.0,0.0,1.0,4.8,4.8,4.45,4.45,13500.0
195724,ACRX,2011-06-02,4.45,4.82,4.45,4.7,16900.0,0.0,1.0,4.45,4.82,4.45,4.7,16900.0
195725,ACRX,2011-06-03,4.8,4.82,4.7,4.74,31600.0,0.0,1.0,4.8,4.82,4.7,4.74,31600.0
195726,ACRX,2011-06-06,4.81,4.821000000000001,4.74,4.75,21000.0,0.0,1.0,4.81,4.821000000000001,4.74,4.75,21000.0
195727,ACRX,2011-06-07,4.74,4.74,4.41,4.61,12100.0,0.0,1.0,4.74,4.74,4.41,4.61,12100.0
195728,ACRX,2011-06-08,4.55,4.64,4.23,4.4,15500.0,0.0,1.0,4.55,4.64,4.23,4.4,15500.0
195729,ACRX,2011-06-09,4.52,4.74,4.49,4.69,19900.0,0.0,1.0,4.52,4.74,4.49,4.69,19900.0
195730,ACRX,2011-06-10,4.6,4.61,4.5,4.5,4400.0,0.0,1.0,4.6,4.61,4.5,4.5,4400.0
195731,ACRX,2011-06-13,4.5,4.74,4.5,4.64,10700.0,0.0,1.0,4.5,4.74,4.5,4.64,10700.0
195732,ACRX,2011-06-14,4.74,4.74,4.51,4.56,8200.0,0.0,1.0,4.74,4.74,4.51,4.56,8200.0
195733,ACRX,2011-06-15,4.57,4.71,4.36,4.59,11800.0,0.0,1.0,4.57,4.71,4.36,4.59,11800.0
195734,ACRX,2011-06-16,4.56,4.74,4.5501,4.59,1800.0,0.0,1.0,4.56,4.74,4.5501,4.59,1800.0
195735,ACRX,2011-06-17,4.68,5.0,4.2,4.22,24500.0,0.0,1.0,4.68,5.0,4.2,4.22,24500.0
195736,ACRX,2011-06-20,4.26,4.47,4.25,4.31,11400.0,0.0,1.0,4.26,4.47,4.25,4.31,11400.0
195737,ACRX,2011-06-21,4.41,4.65,4.35,4.41,22400.0,0.0,1.0,4.41,4.65,4.35,4.41,22400.0
195738,ACRX,2011-06-22,4.46,4.5,4.45,4.45,800.0,0.0,1.0,4.46,4.5,4.45,4.45,800.0
195739,ACRX,2011-06-23,4.46,4.55,4.34,4.49,5700.0,0.0,1.0,4.46,4.55,4.34,4.49,5700.0
195740,ACRX,2011-06-24,4.43,4.55,4.37,4.54,9200.0,0.0,1.0,4.43,4.55,4.37,4.54,9200.0
195741,ACRX,2011-06-27,4.5,4.74,4.45,4.49,12200.0,0.0,1.0,4.5,4.74,4.45,4.49,12200.0
195742,ACRX,2011-06-28,4.57,4.63,4.5,4.51,3400.0,0.0,1.0,4.57,4.63,4.5,4.51,3400.0
195743,ACRX,2011-06-29,4.51,4.57,4.51,4.5101,500.0,0.0,1.0,4.51,4.57,4.51,4.5101,500.0
195744,ACRX,2011-06-30,4.555,4.68,4.51,4.59,9500.0,0.0,1.0,4.555,4.68,4.51,4.59,9500.0
195745,ACRX,2011-07-01,4.45,4.5,4.4,4.4,9600.0,0.0,1.0,4.45,4.5,4.4,4.4,9600.0
195746,ACRX,2011-07-05,4.39,4.4692,4.32,4.4692,2700.0,0.0,1.0,4.39,4.4692,4.32,4.4692,2700.0
195747,ACRX,2011-07-06,4.47,4.47,4.47,4.47,0.0,0.0,1.0,4.47,4.47,4.47,4.47,0.0
195748,ACRX,2011-07-07,4.4278,4.4278,4.3501,4.37,3800.0,0.0,1.0,4.4278,4.4278,4.3501,4.37,3800.0
195749,ACRX,2011-07-08,4.32,4.32,4.24,4.25,8700.0,0.0,1.0,4.32,4.32,4.24,4.25,8700.0
195750,ACRX,2011-07-11,4.23,4.38,4.23,4.31,5100.0,0.0,1.0,4.23,4.38,4.23,4.31,5100.0
195751,ACRX,2011-07-12,4.31,4.66,4.31,4.57,11900.0,0.0,1.0,4.31,4.66,4.31,4.57,11900.0
195752,ACRX,2011-07-13,4.58,4.7,4.57,4.57,6200.0,0.0,1.0,4.58,4.7,4.57,4.57,6200.0
195753,ACRX,2011-07-14,4.5755,4.68,4.5755,4.6419999999999995,1600.0,0.0,1.0,4.5755,4.68,4.5755,4.6419999999999995,1600.0
195754,ACRX,2011-07-15,4.6,4.6001,4.36,4.42,10300.0,0.0,1.0,4.6,4.6001,4.36,4.42,10300.0
195755,ACRX,2011-07-18,4.4,4.52,4.4,4.42,2200.0,0.0,1.0,4.4,4.52,4.4,4.42,2200.0
195756,ACRX,2011-07-19,4.48,4.48,4.48,4.48,100.0,0.0,1.0,4.48,4.48,4.48,4.48,100.0
195757,ACRX,2011-07-20,4.48,4.6,4.4,4.5,3900.0,0.0,1.0,4.48,4.6,4.4,4.5,3900.0
195758,ACRX,2011-07-21,4.41,4.55,4.39,4.4,6400.0,0.0,1.0,4.41,4.55,4.39,4.4,6400.0
195759,ACRX,2011-07-22,4.4396,4.51,4.27,4.38,46900.0,0.0,1.0,4.4396,4.51,4.27,4.38,46900.0
195760,ACRX,2011-07-25,4.42,4.42,4.29,4.32,7800.0,0.0,1.0,4.42,4.42,4.29,4.32,7800.0
195761,ACRX,2011-07-26,4.26,4.334,4.08,4.18,9900.0,0.0,1.0,4.26,4.334,4.08,4.18,9900.0
195762,ACRX,2011-07-27,4.18,4.26,3.97,3.97,30200.0,0.0,1.0,4.18,4.26,3.97,3.97,30200.0
195763,ACRX,2011-07-28,3.93,4.17,3.93,3.99,6800.0,0.0,1.0,3.93,4.17,3.93,3.99,6800.0
195764,ACRX,2011-07-29,4.01,4.47,3.93,4.1,10000.0,0.0,1.0,4.01,4.47,3.93,4.1,10000.0
195765,ACRX,2011-08-01,4.13,4.38,3.95,4.15,1600.0,0.0,1.0,4.13,4.38,3.95,4.15,1600.0
195766,ACRX,2011-08-02,3.98,4.15,3.95,3.95,1300.0,0.0,1.0,3.98,4.15,3.95,3.95,1300.0
195767,ACRX,2011-08-03,4.05,4.072,4.01,4.01,1300.0,0.0,1.0,4.05,4.072,4.01,4.01,1300.0
195768,ACRX,2011-08-04,3.95,3.95,3.9,3.9,600.0,0.0,1.0,3.95,3.95,3.9,3.9,600.0
195769,ACRX,2011-08-05,3.96,4.01,3.94,4.01,2200.0,0.0,1.0,3.96,4.01,3.94,4.01,2200.0
195770,ACRX,2011-08-08,3.93,3.93,3.65,3.778,10200.0,0.0,1.0,3.93,3.93,3.65,3.778,10200.0
195771,ACRX,2011-08-09,3.77,3.87,3.45,3.45,5000.0,0.0,1.0,3.77,3.87,3.45,3.45,5000.0
195772,ACRX,2011-08-10,3.57,3.6,3.43,3.6,7000.0,0.0,1.0,3.57,3.6,3.43,3.6,7000.0
195773,ACRX,2011-08-11,3.78,3.96,3.7,3.7,4100.0,0.0,1.0,3.78,3.96,3.7,3.7,4100.0
195774,ACRX,2011-08-12,3.7,3.8799,3.62,3.7,9200.0,0.0,1.0,3.7,3.8799,3.62,3.7,9200.0
195775,ACRX,2011-08-15,3.75,3.75,3.44,3.57,4200.0,0.0,1.0,3.75,3.75,3.44,3.57,4200.0
195776,ACRX,2011-08-16,3.49,3.49,3.49,3.49,100.0,0.0,1.0,3.49,3.49,3.49,3.49,100.0
195777,ACRX,2011-08-17,3.57,3.57,3.52,3.52,500.0,0.0,1.0,3.57,3.57,3.52,3.52,500.0
195778,ACRX,2011-08-18,3.52,3.52,3.52,3.52,0.0,0.0,1.0,3.52,3.52,3.52,3.52,0.0
195779,ACRX,2011-08-19,3.43,3.5,3.43,3.45,400.0,0.0,1.0,3.43,3.5,3.43,3.45,400.0
195780,ACRX,2011-08-22,3.34,3.5,2.9,2.9,17600.0,0.0,1.0,3.34,3.5,2.9,2.9,17600.0
195781,ACRX,2011-08-23,2.9,3.08,2.9,3.0,3700.0,0.0,1.0,2.9,3.08,2.9,3.0,3700.0
195782,ACRX,2011-08-24,3.05,3.179,3.05,3.11,4000.0,0.0,1.0,3.05,3.179,3.05,3.11,4000.0
195783,ACRX,2011-08-25,3.1,3.15,3.1,3.11,1900.0,0.0,1.0,3.1,3.15,3.1,3.11,1900.0
195784,ACRX,2011-08-26,3.11,3.111,3.11,3.111,300.0,0.0,1.0,3.11,3.111,3.11,3.111,300.0
195785,ACRX,2011-08-29,3.28,3.28,3.24,3.24,1600.0,0.0,1.0,3.28,3.28,3.24,3.24,1600.0
195786,ACRX,2011-08-30,3.26,3.26,3.12,3.12,1600.0,0.0,1.0,3.26,3.26,3.12,3.12,1600.0
195787,ACRX,2011-08-31,3.21,3.4,3.2,3.4,7500.0,0.0,1.0,3.21,3.4,3.2,3.4,7500.0
195788,ACRX,2011-09-01,3.35,3.37,3.05,3.1,11100.0,0.0,1.0,3.35,3.37,3.05,3.1,11100.0
195789,ACRX,2011-09-02,3.1,3.1,3.1,3.1,0.0,0.0,1.0,3.1,3.1,3.1,3.1,0.0
195790,ACRX,2011-09-06,3.14,3.4,3.14,3.17,11000.0,0.0,1.0,3.14,3.4,3.14,3.17,11000.0
195791,ACRX,2011-09-07,3.2,3.4,3.2,3.3,9100.0,0.0,1.0,3.2,3.4,3.2,3.3,9100.0
195792,ACRX,2011-09-08,3.4,3.4,3.3,3.3,200.0,0.0,1.0,3.4,3.4,3.3,3.3,200.0
195793,ACRX,2011-09-09,3.26,3.26,3.26,3.26,200.0,0.0,1.0,3.26,3.26,3.26,3.26,200.0
195794,ACRX,2011-09-12,3.38,3.4,3.22,3.33,2000.0,0.0,1.0,3.38,3.4,3.22,3.33,2000.0
195795,ACRX,2011-09-13,3.46,3.5,3.38,3.4,10100.0,0.0,1.0,3.46,3.5,3.38,3.4,10100.0
195796,ACRX,2011-09-14,3.47,3.58,3.3559,3.58,2100.0,0.0,1.0,3.47,3.58,3.3559,3.58,2100.0
195797,ACRX,2011-09-15,3.49,3.49,3.4,3.4,3100.0,0.0,1.0,3.49,3.49,3.4,3.4,3100.0
195798,ACRX,2011-09-16,3.4,3.41,3.21,3.25,11400.0,0.0,1.0,3.4,3.41,3.21,3.25,11400.0
195799,ACRX,2011-09-19,3.25,3.4,3.25,3.4,6600.0,0.0,1.0,3.25,3.4,3.25,3.4,6600.0
195800,ACRX,2011-09-20,3.4,3.5,3.36,3.44,9200.0,0.0,1.0,3.4,3.5,3.36,3.44,9200.0
195801,ACRX,2011-09-21,3.45,3.45,3.3,3.35,5900.0,0.0,1.0,3.45,3.45,3.3,3.35,5900.0
195802,ACRX,2011-09-22,3.38,3.42,3.3008,3.31,3000.0,0.0,1.0,3.38,3.42,3.3008,3.31,3000.0
195803,ACRX,2011-09-23,3.3,3.3,3.2,3.22,5200.0,0.0,1.0,3.3,3.3,3.2,3.22,5200.0
195804,ACRX,2011-09-26,3.3,3.3,3.25,3.25,900.0,0.0,1.0,3.3,3.3,3.25,3.25,900.0
195805,ACRX,2011-09-27,3.3,3.3,3.2,3.2501,9200.0,0.0,1.0,3.3,3.3,3.2,3.2501,9200.0
195806,ACRX,2011-09-28,3.25,3.34,3.21,3.21,2200.0,0.0,1.0,3.25,3.34,3.21,3.21,2200.0
195807,ACRX,2011-09-29,3.25,3.25,3.25,3.25,900.0,0.0,1.0,3.25,3.25,3.25,3.25,900.0
195808,ACRX,2011-09-30,3.255,3.255,3.21,3.21,1000.0,0.0,1.0,3.255,3.255,3.21,3.21,1000.0
195809,ACRX,2011-10-03,3.25,3.25,3.21,3.23,2000.0,0.0,1.0,3.25,3.25,3.21,3.23,2000.0
195810,ACRX,2011-10-04,3.25,3.25,3.04,3.05,9900.0,0.0,1.0,3.25,3.25,3.04,3.05,9900.0
195811,ACRX,2011-10-05,3.05,3.05,3.05,3.05,0.0,0.0,1.0,3.05,3.05,3.05,3.05,0.0
195812,ACRX,2011-10-06,3.036,3.17,3.036,3.0414,2100.0,0.0,1.0,3.036,3.17,3.036,3.0414,2100.0
195813,ACRX,2011-10-07,3.04,3.04,3.04,3.04,0.0,0.0,1.0,3.04,3.04,3.04,3.04,0.0
195814,ACRX,2011-10-10,3.04,3.04,3.04,3.04,0.0,0.0,1.0,3.04,3.04,3.04,3.04,0.0
195815,ACRX,2011-10-11,3.0,3.0001,3.0,3.0001,500.0,0.0,1.0,3.0,3.0001,3.0,3.0001,500.0
195816,ACRX,2011-10-12,2.9501,3.0,2.9501,3.0,300.0,0.0,1.0,2.9501,3.0,2.9501,3.0,300.0
195817,ACRX,2011-10-13,3.0,3.0192,2.9,3.0192,6800.0,0.0,1.0,3.0,3.0192,2.9,3.0192,6800.0
195818,ACRX,2011-10-14,2.97,3.0,2.97,3.0,5700.0,0.0,1.0,2.97,3.0,2.97,3.0,5700.0
195819,ACRX,2011-10-17,2.97,2.97,2.92,2.92,5900.0,0.0,1.0,2.97,2.97,2.92,2.92,5900.0
195820,ACRX,2011-10-18,2.9760000000000004,2.9760000000000004,2.92,2.92,200.0,0.0,1.0,2.9760000000000004,2.9760000000000004,2.92,2.92,200.0
195821,ACRX,2011-10-19,2.92,2.92,2.92,2.92,0.0,0.0,1.0,2.92,2.92,2.92,2.92,0.0
195822,ACRX,2011-10-20,2.92,2.92,2.87,2.89,13100.0,0.0,1.0,2.92,2.92,2.87,2.89,13100.0
195823,ACRX,2011-10-21,2.89,2.89,2.89,2.89,0.0,0.0,1.0,2.89,2.89,2.89,2.89,0.0
