,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
550099,AKBA,2014-03-20,22.9,28.5,20.62,26.695,4677300.0,0.0,1.0,22.9,28.5,20.62,26.695,4677300.0
550100,AKBA,2014-03-21,25.52,28.195,22.5,23.7,440400.0,0.0,1.0,25.52,28.195,22.5,23.7,440400.0
550101,AKBA,2014-03-24,25.0,25.0,20.01,20.2,448100.0,0.0,1.0,25.0,25.0,20.01,20.2,448100.0
550102,AKBA,2014-03-25,20.22,20.5,18.96,20.0,219900.0,0.0,1.0,20.22,20.5,18.96,20.0,219900.0
550103,AKBA,2014-03-26,19.94,20.0,18.75,18.96,128900.0,0.0,1.0,19.94,20.0,18.75,18.96,128900.0
550104,AKBA,2014-03-27,18.93,19.5,18.75,19.37,115600.0,0.0,1.0,18.93,19.5,18.75,19.37,115600.0
550105,AKBA,2014-03-28,19.65,20.57,19.37,20.0,97200.0,0.0,1.0,19.65,20.57,19.37,20.0,97200.0
550106,AKBA,2014-03-31,20.4,20.4,19.01,19.56,108900.0,0.0,1.0,20.4,20.4,19.01,19.56,108900.0
550107,AKBA,2014-04-01,19.69,21.31,19.590999999999998,20.56,113900.0,0.0,1.0,19.69,21.31,19.590999999999998,20.56,113900.0
550108,AKBA,2014-04-02,21.23,22.6399,21.0,21.88,76100.0,0.0,1.0,21.23,22.6399,21.0,21.88,76100.0
550109,AKBA,2014-04-03,21.16,22.3099,18.5,19.15,77400.0,0.0,1.0,21.16,22.3099,18.5,19.15,77400.0
550110,AKBA,2014-04-04,20.49,20.49,17.65,18.51,49600.0,0.0,1.0,20.49,20.49,17.65,18.51,49600.0
550111,AKBA,2014-04-07,18.26,18.41,17.75,18.0,70100.0,0.0,1.0,18.26,18.41,17.75,18.0,70100.0
550112,AKBA,2014-04-08,18.21,19.21,17.86,18.31,53700.0,0.0,1.0,18.21,19.21,17.86,18.31,53700.0
550113,AKBA,2014-04-09,18.06,18.9899,16.41,18.8899,158800.0,0.0,1.0,18.06,18.9899,16.41,18.8899,158800.0
550114,AKBA,2014-04-10,19.45,19.45,18.0,18.48,71400.0,0.0,1.0,19.45,19.45,18.0,18.48,71400.0
550115,AKBA,2014-04-11,19.15,19.4397,16.5,16.86,284400.0,0.0,1.0,19.15,19.4397,16.5,16.86,284400.0
550116,AKBA,2014-04-14,19.35,23.32,17.07,21.14,3065700.0,0.0,1.0,19.35,23.32,17.07,21.14,3065700.0
550117,AKBA,2014-04-15,21.12,22.5,20.02,22.26,807100.0,0.0,1.0,21.12,22.5,20.02,22.26,807100.0
550118,AKBA,2014-04-16,23.38,26.349,22.35,24.7,1394900.0,0.0,1.0,23.38,26.349,22.35,24.7,1394900.0
550119,AKBA,2014-04-17,25.99,26.81,25.1101,26.09,676700.0,0.0,1.0,25.99,26.81,25.1101,26.09,676700.0
550120,AKBA,2014-04-21,27.5,27.5,26.0,27.04,362000.0,0.0,1.0,27.5,27.5,26.0,27.04,362000.0
550121,AKBA,2014-04-22,27.1,27.85,23.8,25.49,616000.0,0.0,1.0,27.1,27.85,23.8,25.49,616000.0
550122,AKBA,2014-04-23,25.47,26.41,24.5,24.77,248800.0,0.0,1.0,25.47,26.41,24.5,24.77,248800.0
550123,AKBA,2014-04-24,25.01,25.48,22.61,22.79,316800.0,0.0,1.0,25.01,25.48,22.61,22.79,316800.0
550124,AKBA,2014-04-25,22.53,24.4,21.237,23.0,282600.0,0.0,1.0,22.53,24.4,21.237,23.0,282600.0
550125,AKBA,2014-04-28,23.01,24.999000000000002,22.25,23.0,168600.0,0.0,1.0,23.01,24.999000000000002,22.25,23.0,168600.0
550126,AKBA,2014-04-29,23.17,24.44,22.5,24.16,118000.0,0.0,1.0,23.17,24.44,22.5,24.16,118000.0
550127,AKBA,2014-04-30,23.4,24.94,23.4,24.37,117700.0,0.0,1.0,23.4,24.94,23.4,24.37,117700.0
550128,AKBA,2014-05-01,24.46,24.95,24.01,24.86,84800.0,0.0,1.0,24.46,24.95,24.01,24.86,84800.0
550129,AKBA,2014-05-02,24.95,25.32,23.848000000000003,24.01,72200.0,0.0,1.0,24.95,25.32,23.848000000000003,24.01,72200.0
550130,AKBA,2014-05-05,23.45,24.48,22.81,23.73,108300.0,0.0,1.0,23.45,24.48,22.81,23.73,108300.0
550131,AKBA,2014-05-06,23.4,24.1499,22.82,22.99,94400.0,0.0,1.0,23.4,24.1499,22.82,22.99,94400.0
550132,AKBA,2014-05-07,23.1,23.845,22.26,23.04,60000.0,0.0,1.0,23.1,23.845,22.26,23.04,60000.0
550133,AKBA,2014-05-08,22.65,23.438000000000002,22.3501,22.88,54200.0,0.0,1.0,22.65,23.438000000000002,22.3501,22.88,54200.0
550134,AKBA,2014-05-09,22.7,23.4299,21.75,22.21,79700.0,0.0,1.0,22.7,23.4299,21.75,22.21,79700.0
550135,AKBA,2014-05-12,22.71,22.79,21.0,22.39,179600.0,0.0,1.0,22.71,22.79,21.0,22.39,179600.0
550136,AKBA,2014-05-13,22.51,23.7,22.235,23.03,95100.0,0.0,1.0,22.51,23.7,22.235,23.03,95100.0
550137,AKBA,2014-05-14,22.7,23.26,22.56,22.8,121600.0,0.0,1.0,22.7,23.26,22.56,22.8,121600.0
550138,AKBA,2014-05-15,22.83,23.0499,21.51,21.52,95000.0,0.0,1.0,22.83,23.0499,21.51,21.52,95000.0
550139,AKBA,2014-05-16,21.59,22.6472,21.5,21.53,45200.0,0.0,1.0,21.59,22.6472,21.5,21.53,45200.0
550140,AKBA,2014-05-19,21.5,21.75,21.05,21.14,85000.0,0.0,1.0,21.5,21.75,21.05,21.14,85000.0
550141,AKBA,2014-05-20,21.7299,22.18,21.078000000000003,21.34,60000.0,0.0,1.0,21.7299,22.18,21.078000000000003,21.34,60000.0
550142,AKBA,2014-05-21,21.29,22.71,21.25,22.23,119000.0,0.0,1.0,21.29,22.71,21.25,22.23,119000.0
550143,AKBA,2014-05-22,22.3,23.31,22.0312,22.93,98700.0,0.0,1.0,22.3,23.31,22.0312,22.93,98700.0
550144,AKBA,2014-05-23,22.5,23.5,22.5,22.76,130800.0,0.0,1.0,22.5,23.5,22.5,22.76,130800.0
550145,AKBA,2014-05-27,23.01,23.25,22.75,22.88,54500.0,0.0,1.0,23.01,23.25,22.75,22.88,54500.0
550146,AKBA,2014-05-28,23.09,23.22,22.8,23.02,94600.0,0.0,1.0,23.09,23.22,22.8,23.02,94600.0
550147,AKBA,2014-05-29,23.1,24.0,22.750999999999998,23.61,60200.0,0.0,1.0,23.1,24.0,22.750999999999998,23.61,60200.0
550148,AKBA,2014-05-30,23.99,24.855,23.32,24.3,120000.0,0.0,1.0,23.99,24.855,23.32,24.3,120000.0
550149,AKBA,2014-06-02,24.53,24.75,23.7001,24.65,58700.0,0.0,1.0,24.53,24.75,23.7001,24.65,58700.0
550150,AKBA,2014-06-03,24.4,26.5,24.35,26.31,124900.0,0.0,1.0,24.4,26.5,24.35,26.31,124900.0
550151,AKBA,2014-06-04,26.38,27.46,25.865,26.37,115900.0,0.0,1.0,26.38,27.46,25.865,26.37,115900.0
550152,AKBA,2014-06-05,26.63,27.298000000000002,26.08,26.73,91600.0,0.0,1.0,26.63,27.298000000000002,26.08,26.73,91600.0
550153,AKBA,2014-06-06,26.68,27.97,26.52,26.85,141400.0,0.0,1.0,26.68,27.97,26.52,26.85,141400.0
550154,AKBA,2014-06-09,27.05,28.7567,26.9,28.31,350600.0,0.0,1.0,27.05,28.7567,26.9,28.31,350600.0
550155,AKBA,2014-06-10,28.0,28.69,27.81,28.06,141000.0,0.0,1.0,28.0,28.69,27.81,28.06,141000.0
550156,AKBA,2014-06-11,27.89,28.4,26.85,27.57,94800.0,0.0,1.0,27.89,28.4,26.85,27.57,94800.0
550157,AKBA,2014-06-12,27.51,28.28,26.67,27.5,122600.0,0.0,1.0,27.51,28.28,26.67,27.5,122600.0
550158,AKBA,2014-06-13,27.49,27.78,27.04,27.66,79100.0,0.0,1.0,27.49,27.78,27.04,27.66,79100.0
550159,AKBA,2014-06-16,27.84,27.9,26.8,26.98,94300.0,0.0,1.0,27.84,27.9,26.8,26.98,94300.0
550160,AKBA,2014-06-17,26.91,27.32,26.22,26.92,90200.0,0.0,1.0,26.91,27.32,26.22,26.92,90200.0
550161,AKBA,2014-06-18,26.79,28.34,26.7654,27.8,97200.0,0.0,1.0,26.79,28.34,26.7654,27.8,97200.0
